student_id,gender,study_hours_per_week,attendance_rate,sleep_hours,previous_gpa,extracurricular_hours,parental_support,internet_access,study_group,final_score,grade
1,Female,9.1,100.0,8.6,3.62,1.3,Low,Yes,No,77.4,B
2,Male,9.8,99.8,9.0,3.12,2.0,High,Yes,Yes,80.7,B
3,Female,29.7,96.2,7.7,2.31,0.2,Medium,Yes,Yes,79.6,B
4,Female,25.8,81.1,5.3,3.54,4.9,Medium,Yes,No,82.1,B
5,Male,12.5,76.2,7.4,2.0,1.4,Medium,Yes,No,70.2,B
6,Female,12.8,92.9,7.9,3.86,3.6,High,Yes,No,78.0,B
7,Female,8.1,74.0,7.7,3.02,2.3,Low,Yes,No,58.3,C
8,Female,3.6,82.6,,1.31,2.6,Medium,Yes,Yes,51.8,D
9,Male,14.3,83.9,7.3,2.7,3.0,Medium,No,Yes,71.0,B
10,Male,9.0,100.0,6.7,3.29,0.9,Medium,Yes,No,77.4,B
11,Male,14.5,81.5,6.0,2.76,4.8,High,Yes,Yes,70.5,B
12,Female,5.4,60.6,4.3,3.33,0.0,High,No,No,49.1,D
13,Female,10.4,90.0,7.2,2.39,0.2,High,Yes,Yes,67.2,C
14,Female,15.9,78.0,7.0,2.12,4.0,Low,Yes,No,64.7,C
15,Male,17.2,85.4,,2.86,8.2,Low,Yes,No,70.2,B
16,Male,17.5,84.1,5.1,2.92,0.9,Low,No,Yes,65.2,C
17,Female,7.1,82.3,7.6,2.69,0.5,High,Yes,No,65.0,C
18,Male,20.1,92.9,9.5,3.64,2.0,High,Yes,No,89.0,A
19,Female,10.2,69.7,6.9,2.39,0.4,High,Yes,Yes,67.0,C
20,Female,18.8,79.8,6.7,3.09,0.1,Medium,Yes,Yes,76.0,B
21,Female,14.9,91.8,7.2,2.94,2.0,High,No,No,72.0,B
22,Male,6.7,78.9,9.4,1.97,0.3,Medium,Yes,No,62.8,C
23,Female,13.1,68.9,5.5,2.11,2.8,High,Yes,No,65.2,C
24,Female,17.2,91.7,7.1,2.91,1.4,Medium,No,No,64.9,C
25,Female,18.7,96.2,5.8,4.0,7.9,Low,Yes,Yes,82.2,B
26,Male,14.2,84.6,6.1,3.25,2.5,Low,Yes,Yes,73.4,B
27,Male,24.2,65.4,6.7,1.86,3.7,High,Yes,No,73.4,B
28,Male,21.0,92.1,8.6,1.03,1.9,Medium,Yes,No,67.2,C
29,Male,13.5,68.4,9.1,3.34,3.1,Medium,Yes,No,66.2,C
30,Female,19.5,88.1,7.4,2.84,5.0,Medium,Yes,Yes,72.2,B
31,Female,26.6,76.1,6.3,3.58,2.0,Medium,Yes,No,76.5,B
32,Female,26.8,73.4,10.0,2.37,2.0,High,Yes,No,77.5,B
33,Male,7.6,80.6,6.2,3.11,0.5,Low,Yes,Yes,63.7,C
34,Male,9.4,83.2,6.1,3.41,0.1,Low,Yes,No,60.7,C
35,Male,23.9,78.6,4.5,2.63,1.0,High,Yes,No,68.0,C
36,Male,8.7,90.9,8.6,2.64,2.2,Medium,Yes,Yes,60.1,C
37,Male,7.1,80.5,8.1,2.92,4.4,Low,Yes,Yes,51.1,D
38,Male,12.1,94.8,9.9,3.23,2.0,Low,Yes,Yes,73.2,B
39,Male,17.5,87.8,5.0,2.89,8.4,Low,Yes,No,79.8,B
40,Female,14.4,78.0,8.7,3.48,2.9,Medium,Yes,Yes,83.3,B
41,Male,11.1,76.3,6.9,2.62,5.3,Low,Yes,Yes,59.6,C
42,Female,11.0,68.5,7.8,2.1,16.9,Low,No,Yes,59.4,C
43,Female,10.7,87.9,4.7,4.0,7.1,High,Yes,Yes,72.6,B
44,Male,9.7,81.5,8.7,2.54,9.0,High,Yes,Yes,66.3,C
45,Female,28.7,61.3,7.8,2.56,1.6,High,Yes,No,68.9,C
46,Female,16.8,79.6,6.7,2.86,0.5,Medium,Yes,Yes,69.9,C
47,Male,20.3,76.0,7.6,2.94,1.3,Medium,Yes,Yes,72.7,B
48,Male,12.1,100.0,5.8,2.67,0.3,High,Yes,Yes,75.0,B
49,Female,13.9,68.0,6.0,2.89,0.4,High,Yes,No,70.8,B
50,Male,10.7,70.6,6.2,2.88,0.1,Medium,Yes,Yes,63.6,C
51,Male,0.0,96.1,,3.0,0.0,Medium,Yes,No,62.8,C
52,Male,6.7,98.6,7.9,1.49,6.9,Medium,Yes,No,57.5,C
53,Female,4.1,77.6,8.3,4.0,10.5,Medium,No,No,62.6,C
54,Female,1.5,78.7,5.9,2.81,3.4,Medium,Yes,Yes,55.3,C
55,Female,7.8,91.2,7.3,3.25,2.6,Low,Yes,No,70.2,B
56,Female,22.9,61.7,6.5,2.07,2.0,High,Yes,No,65.8,C
57,Male,14.7,66.4,7.2,2.62,10.9,Medium,Yes,Yes,60.0,C
58,Female,22.7,82.2,6.0,2.5,1.2,Medium,Yes,No,70.4,B
59,Male,17.5,100.0,5.7,3.78,4.6,Low,Yes,No,71.3,B
60,Male,19.7,80.6,8.2,2.55,0.8,High,Yes,Yes,82.6,B
61,Female,9.6,86.0,6.7,3.35,0.8,High,Yes,Yes,71.8,B
62,Male,18.1,96.3,9.4,2.51,3.7,Low,Yes,No,74.8,B
63,Female,19.4,100.0,6.9,2.63,4.3,Medium,Yes,Yes,81.4,B
64,Female,11.5,79.2,5.6,2.75,0.4,Medium,Yes,No,60.6,C
65,Female,18.4,84.8,8.4,3.67,3.2,High,Yes,Yes,83.1,B
66,Female,18.4,100.0,7.6,1.77,3.0,Low,Yes,Yes,70.6,B
67,Female,11.7,69.8,7.7,2.11,0.7,High,Yes,Yes,65.8,C
68,Male,8.3,95.3,8.3,1.73,7.7,Medium,Yes,Yes,67.6,C
69,Male,7.9,74.8,6.0,2.25,2.0,Low,Yes,No,50.6,D
70,Male,15.5,86.0,6.6,2.41,1.3,Low,No,No,63.1,C
71,Male,17.0,82.6,6.6,1.93,1.2,Low,Yes,No,59.5,C
72,Male,10.2,75.4,5.1,2.46,1.3,Medium,Yes,No,63.0,C
73,Female,15.2,75.2,6.5,1.69,0.2,Medium,Yes,No,64.4,C
74,Male,18.4,87.8,8.5,2.29,4.2,High,Yes,Yes,78.6,B
75,Male,18.7,95.0,7.1,3.62,8.9,Low,Yes,Yes,80.9,B
76,Male,24.3,83.7,5.1,3.14,6.5,High,Yes,No,82.2,B
77,Male,22.7,85.7,4.8,3.01,1.4,Low,No,No,69.7,C
78,Female,9.0,90.7,9.0,2.3,3.8,Medium,Yes,No,73.5,B
79,Female,25.1,75.3,6.7,1.98,1.2,High,No,No,66.7,C
80,Female,11.8,92.4,6.0,2.22,0.5,High,Yes,No,68.7,C
81,Female,21.3,93.2,6.4,2.87,1.4,Medium,Yes,Yes,80.6,B
82,Male,15.4,100.0,4.9,3.42,1.4,High,Yes,No,76.0,B
83,Female,12.5,81.2,8.7,3.44,0.6,Low,Yes,No,63.5,C
84,Male,4.2,80.4,6.3,3.28,1.5,Low,Yes,No,64.3,C
85,Male,14.0,92.7,8.6,2.46,1.8,Medium,Yes,Yes,70.7,B
86,Male,5.6,93.2,6.9,2.91,0.9,Low,Yes,Yes,59.9,C
87,Female,20.8,79.6,8.7,2.71,0.2,Medium,Yes,No,74.4,B
88,Male,24.1,81.0,7.1,2.78,0.8,Low,Yes,No,77.1,B
89,Male,10.2,90.4,7.9,4.0,6.2,High,Yes,No,73.0,B
90,Male,16.8,76.7,7.7,1.84,2.4,High,Yes,No,71.6,B
91,Male,10.6,80.9,7.6,2.76,1.1,High,No,Yes,55.7,C
92,Female,11.2,85.9,7.3,3.63,0.9,High,Yes,Yes,75.6,B
93,Male,19.6,95.0,6.5,2.02,3.1,Low,Yes,No,75.1,B
94,Male,14.8,79.0,9.3,2.51,0.6,Low,Yes,Yes,65.2,C
95,Male,25.4,66.6,5.6,2.58,0.7,Medium,Yes,No,69.2,C
96,Female,12.1,65.8,6.8,2.77,5.3,Medium,Yes,No,67.9,C
97,Male,21.0,72.4,6.8,1.94,1.7,Medium,Yes,Yes,58.8,C
98,Male,15.6,71.9,7.3,3.26,0.5,Medium,Yes,Yes,71.7,B
99,Male,19.8,83.5,6.2,3.3,0.1,Medium,Yes,Yes,75.8,B
100,Female,12.3,73.1,7.2,3.21,10.1,Low,Yes,Yes,77.3,B
101,Female,14.7,78.0,6.6,2.38,0.0,Medium,No,No,55.2,C
102,Female,14.3,77.3,4.7,2.95,2.2,Medium,No,Yes,62.7,C
103,Male,10.0,80.6,6.8,2.36,3.0,Medium,Yes,Yes,60.9,C
104,Female,19.0,98.2,5.4,2.7,2.3,High,Yes,Yes,73.0,B
105,Female,18.9,91.6,4.5,4.0,1.4,Medium,Yes,Yes,85.1,A
